price,brand,model,year,title_status,mileage,color,vin,lot,state,country
10000,ford,escape,2017,clean vehicle,35021.0,silver,  1fmcu9gd8hud43346,167567564,colorado, usa
4100,ford,door,2012,clean vehicle,100264.0,silver,  1fmcu9d76cka93351,167789826,pennsylvania, usa
30995,ford,door,2015,clean vehicle,157057.0,off-white,  1ft7w2bt5fec61782,167790044,texas, usa
1750,ford,door,2012,salvage insurance,181316.0,black,  1fmcu0d7xcka88620,167650408,minnesota, usa
31500,ford,wagon,2019,clean vehicle,23222.0,black,  1fbax2cm8kka31244,167745569,pennsylvania, usa
13500,ford,door,2016,clean vehicle,87686.0,white,  1ftfx1ef1gke85837,167568162,colorado, usa
7500,ford,door,2014,clean vehicle,162918.0,blue,  1ftew1cm8efc15574,167790510,texas, usa
650,ford,door,2017,salvage insurance,0.0,black,  1fadp3k21hl268441,167651911,california, usa
22800,ford,wagon,2019,clean vehicle,32526.0,white,  1fbzx2zmxkka31904,167745570,pennsylvania, usa
11300,ford,door,2016,clean vehicle,69402.0,white,  3fa6p0k9xgr317088,167568168,colorado, usa
32700,ford,door,2014,clean vehicle,76336.0,white,  1ft7w2bt8eea52700,167790521,texas, usa
1350,ford,door,2012,salvage insurance,163334.0,white,  1fahp3m22cl334180,167652613,virginia, usa
21900,ford,wagon,2019,clean vehicle,47628.0,white,  1fbzx2zm9kka48743,167745571,pennsylvania, usa
11700,ford,door,2014,clean vehicle,135283.0,orange,  1ftfw1ef4ekd10563,167790522,texas, usa
6500,ford,door,2014,salvage insurance,147903.0,white,  1ftmf1cm3ekd09140,167652703,georgia, usa
9800,ford,door,2014,clean vehicle,74181.0,black,  2fmdk3gc9ebb58643,167568860,colorado, usa
11000,ford,door,2014,clean vehicle,77386.0,white,  1ft7w2a67eeb61127,167790526,texas, usa
1150,ford,door,2014,salvage insurance,123349.0,red,  3fadp4bj5em136791,167652717,georgia, usa
13000,ford,cutaway,2013,clean vehicle,136661.0,white,  1fdwe3fs8dda78168,167569071,colorado, usa
5500,ford,door,2013,clean vehicle,109600.0,silver,  3fa6p0hrxdr251001,167790946,texas, usa
6000,ford,door,2014,salvage insurance,125369.0,black,  1fmcu0gx0euc40715,167652917,massachusetts, usa
11200,ford,door,2013,clean vehicle,122861.0,blue,  1ftfw1ct7dkg07754,167790954,texas, usa
5000,ford,door,2016,salvage insurance,110826.0,gray,  1fadp3f26gl367412,167652919,massachusetts, usa
23400,ford,f-150,2019,clean vehicle,12198.0,white,  1ftmf1c57kkc79371,167791002,missouri, usa
13500,ford,door,2019,salvage insurance,45512.0,red,  3fa6p0ru3kr188341,167652920,massachusetts, usa
22900,ford,f-150,2019,clean vehicle,15656.0,white,  1ftmf1c51kkd08279,167791008,missouri, usa
20000,ford,fusion,2020,clean vehicle,23984.0,silver,  3fa6p0cd0lr116667,167569992,virginia, usa
22900,ford,f-150,2019,clean vehicle,15821.0,white,  1ftmf1c52kkc79259,167791009,missouri, usa
27000,ford,mustang,2020,clean vehicle,12748.0,red,  1fatp8uh3l5101487,167569997,virginia, usa
54500,ford,expedition,2019,clean vehicle,9865.0,blue,  1fmju1kt1kea32785,167791013,oklahoma, usa
20600,ford,fusion,2020,clean vehicle,17858.0,black,  3fa6p0cd8lr115427,167570001,virginia, usa
23500,ford,f-150,2019,clean vehicle,6711.0,white,  1ftmf1c56kkd08097,167791021,missouri, usa
53000,ford,expedition,2019,clean vehicle,14939.0,blue,  1fmju1kt7kea32953,167791024,oklahoma, usa
23600,ford,transit,2019,clean vehicle,15820.0,white,  1ftyr1ymxkka55522,167791089,missouri, usa
33500,ford,wagon,2019,clean vehicle,6140.0,silver,  1fbzx2cg3kka74824,167791092,oklahoma, usa
24400,ford,edge,2019,clean vehicle,25552.0,gray,  2fmpk3k98kbc03043,167570518,virginia, usa
13000,ford,focus,2016,clean vehicle,54984.0,black,  1fadp3l99gl358964,167793047,west virginia, usa
48400,ford,max,2019,clean vehicle,24783.0,black,  1fmjk2at0kea58243,167570519,virginia, usa
26500,ford,door,2014,clean vehicle,148442.0,silver,  1ft7w2btxeea16216,167793049,west virginia, usa
46200,ford,max,2019,clean vehicle,34191.0,white,  1fmjk2at6kea38501,167570520,virginia, usa
9300,ford,door,2013,clean vehicle,82072.0,silver,  2fmdk4kc9dba82059,167793051,west virginia, usa
13500,ford,door,2012,clean vehicle,104559.0,white,  1ftfw1ef2cfa90460,167793084,west virginia, usa
27600,ford,edge,2019,clean vehicle,13265.0,silver,  2fmpk4k90kbb81660,167570523,virginia, usa
7400,ford,door,2013,clean vehicle,133314.0,red,  1fm5k8d84dgc38344,167793088,west virginia, usa
26500,ford,edge,2019,clean vehicle,22458.0,gray,  2fmpk4k98kbc23105,167570524,virginia, usa
26000,ford,door,2013,clean vehicle,70106.0,white,  1ft7w2btxdea17039,167793089,west virginia, usa
24500,ford,edge,2019,clean vehicle,23712.0,black,  2fmpk3k92kbb89267,167570526,virginia, usa
2100,ford,door,2012,clean vehicle,101848.0,red,  3fadp4bj7cm128642,167793093,west virginia, usa
16700,ford,ecosport,2019,clean vehicle,14994.0,black,  maj6s3kl6kc281547,167570530,virginia, usa
17500,ford,edge,2015,clean vehicle,59726.0,gray,  2fmtk4k99fbb35183,167793196,missouri, usa
17000,ford,escape,2019,clean vehicle,16448.0,gray,  1fmcu0gd6kub08933,167570532,virginia, usa
22500,ford,door,2015,clean vehicle,28801.0,black,  1ftew1cp9fke05161,167793211,oklahoma, usa
34500,ford,f-150,2019,clean vehicle,28938.0,gray,  1ftew1e54kfb82591,167749570,michigan, usa
16600,ford,ecosport,2019,clean vehicle,19022.0,black,  maj6s3kl2kc287149,167570533,virginia, usa
7500,ford,door,2014,clean vehicle,93832.0,silver,  1fmcu9g9xeuc07694,167793429,missouri, usa
34500,ford,f-150,2019,clean vehicle,25046.0,white,  1ftew1e54kfb48392,167749571,michigan, usa
25000,ford,edge,2019,clean vehicle,22318.0,black,  2fmpk4k95kbc01949,167570534,virginia, usa
36000,ford,f-150,2019,clean vehicle,17301.0,gray,  1ftew1e53kkd48767,167749573,michigan, usa
23700,ford,edge,2019,clean vehicle,27413.0,gray,  2fmpk3k98kbb62817,167570535,virginia, usa
28600,ford,explorer,2019,clean vehicle,39733.0,silver,  1fm5k8gt7kgb48943,167749575,michigan, usa
23500,ford,door,2013,clean vehicle,74195.0,brown,  1ftfw1et6dke81934,167793508,oklahoma, usa
25300,ford,explorer,2019,clean vehicle,44383.0,silver,  1fm5k8f8xkgb26965,167749587,michigan, usa
24900,ford,flex,2019,clean vehicle,19151.0,white,  2fmhk6d81kba20559,167570537,virginia, usa
20300,ford,f-750,2012,clean vehicle,188394.0,white,  3frnf7fa7cv186728,167793514,missouri, usa
23400,ford,fusion,2020,clean vehicle,2452.0,gray,  3fa6p0hd6lr110753,167749593,michigan, usa
14600,ford,fusion,2019,clean vehicle,36252.0,silver,  3fa6p0lu2kr180496,167570539,virginia, usa
25500,ford,f-150,2019,clean vehicle,27136.0,silver,  1ftew1c47kfb18880,167570540,virginia, usa
14700,ford,fusion,2019,clean vehicle,35951.0,white,  3fa6p0lu8kr117368,167570545,virginia, usa
33700,ford,f-150,2019,clean vehicle,35221.0,white,  1ftew1e53kfa65102,167570547,virginia, usa
33400,ford,f-150,2019,clean vehicle,33808.0,gray,  1ftew1e57kfb48077,167570548,virginia, usa
34000,ford,f-150,2019,clean vehicle,32022.0,black,  1ftew1e54kfb47744,167749775,michigan, usa
17500,ford,fusion,2019,clean vehicle,34173.0,white,  3fa6p0ruxkr138018,167570556,virginia, usa
14100,ford,fusion,2019,clean vehicle,24272.0,white,  3fa6p0lu1kr225363,167749844,michigan, usa
30000,ford,f-150,2019,clean vehicle,19055.0,black,  1ftew1e52kfb46754,167570557,virginia, usa
16500,ford,fusion,2019,clean vehicle,34822.0,red,  3fa6p0d98kr187124,167749846,michigan, usa
30600,ford,f-150,2019,clean vehicle,15422.0,gray,  1ftew1e57kfc11954,167570558,virginia, usa
12800,ford,ecosport,2019,clean vehicle,24765.0,silver,  maj3s2ke8kc268152,167796664,nevada, usa
26000,ford,wagon,2019,clean vehicle,23019.0,white,  1fbzx2zm3kkb24344,167570713,virginia, usa
46000,ford,max,2019,clean vehicle,38243.0,black,  1fmjk2at6kea15946,167750651,texas, usa
28500,ford,ranger,2019,clean vehicle,16509.0,white,  1fter4fh6kla60107,167570721,virginia, usa
24300,ford,edge,2019,clean vehicle,18762.0,silver,  2fmpk4k96kbc37150,167796667,nevada, usa
29000,ford,explorer,2019,clean vehicle,28854.0,no_color,  1fm5k7f88kgb11648,167750788,texas, usa
15300,ford,escape,2019,clean vehicle,17392.0,black,  1fmcu0gdxkub80752,167796668,nevada, usa
