price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
47000,ford,expedition,2019,clean vehicle,24902.0,black,  1fmju2at1kea37413,167625630,illinois, usa,2 days left
16080,ford,doors,2015,clean vehicle,31793.0,blue,  2fmtk3j92fbc41664,167565031,connecticut, usa,9 days left
50000,ford,max,2019,clean vehicle,16505.0,white,  1fmjk2at2kea45381,167625631,illinois, usa,2 days left
15268,ford,doors,2015,clean vehicle,74361.0,black,  2fmtk4j81fbc21743,167565034,new york, usa,9 days left
47500,ford,max,2019,clean vehicle,27868.0,black,  1fmjk2at0kea39191,167625634,illinois, usa,2 days left
18497,ford,doors,2015,clean vehicle,34011.0,black,  2fmtk4j86fbc21494,167565036,massachusetts, usa,9 days left
10000,ford,escape,2019,clean vehicle,19993.0,silver,  1fmcu9gd3kub30490,167625635,illinois, usa,19 hours left
19995,ford,suv,2015,clean vehicle,48115.0,red,  2fmtk4k88fbb49003,167565056,pennsylvania, usa,9 days left
49000,ford,max,2019,clean vehicle,22543.0,white,  1fmjk2at9kea46589,167625636,illinois, usa,2 days left
17150,ford,doors,2015,clean vehicle,67091.0,black,  2fmtk3ap9fbc28957,167565081,new jersey, usa,9 days left
45000,ford,expedition,2019,clean vehicle,28790.0,black,  1fmju2at8kea33665,167625637,illinois, usa,2 days left
14295,ford,doors,2015,clean vehicle,59391.0,guard,  2fmtk4j87fbb34901,167565082,new jersey, usa,9 days left
49000,ford,max,2019,clean vehicle,18449.0,black,  1fmjk2at3kea46572,167625639,illinois, usa,2 days left
16190,ford,doors,2015,clean vehicle,71824.0,magnetic metallic,  2fmtk4j96fbb10890,167565083,new york, usa,9 days left
49000,ford,expedition,2019,clean vehicle,19304.0,black,  1fmju2at9kea25414,167625640,illinois, usa,2 days left
17899,ford,doors,2015,clean vehicle,39159.0,magnetic metallic,  2fmtk4j82fbc36462,167565105,new york, usa,9 days left
26000,ford,flex,2019,clean vehicle,18708.0,black,  2fmhk6dt1kba15866,167625666,illinois, usa,2 days left
14000,ford,doors,2015,clean vehicle,79430.0,magnetic metallic,  2fmtk4j88fbb19078,167565107,new jersey, usa,9 days left
15500,ford,flex,2019,clean vehicle,12393.0,gray,  2fmhk6d84kba36268,167625667,illinois, usa,19 hours left
16888,ford,doors,2015,clean vehicle,56329.0,black,  2fmtk4j94fbc08560,167565108,new york, usa,9 days left
28000,ford,f-150,2019,clean vehicle,12155.0,silver,  1ftfw1e56kfc13232,167625669,illinois, usa,2 days left
8305,ford,door,2014,clean vehicle,63291.0,blue,  1fa6p0hd0e5355683,167744884,arkansas, usa,2 days left
21822,ford,doors,2015,clean vehicle,36041.0,white platinum tri-coat metallic,  2fmtk4ap1fbc36380,167565117,new jersey, usa,9 days left
15500,ford,mustang,2019,clean vehicle,25810.0,red,  1fatp8uhxk5148949,167625718,illinois, usa,19 hours left
12500,ford,door,2015,clean vehicle,130388.0,blue,  1ftew1cf5fkd41840,167744885,arkansas, usa,20 hours left
15995,ford,doors,2015,clean vehicle,23878.0,blue,  2fmtk4g88fbb75562,167565141,new york, usa,9 days left
16000,ford,transit,2019,clean vehicle,15460.0,white,  1ftyr2zm1kkb65539,167625733,illinois, usa,19 hours left
38200,ford,max,2018,clean vehicle,46710.0,white,  1fmjk1kt9jea41402,167745579,north carolina, usa,Listing Expired
12995,ford,doors,2015,clean vehicle,65342.0,black,  2fmtk4g8xfbb98373,167565142,new york, usa,9 days left
14488,ford,doors,2015,clean vehicle,64061.0,tuxedo black metallic,  2fmtk4j93fbb69606,167565143,massachusetts, usa,9 days left
17500,ford,door,2016,clean vehicle,93164.0,white,  1fm5k7f81gga06232,167746065,florida, usa,14 hours left
21995,ford,doors,2015,clean vehicle,35629.0,blue,  2fmtk4ap6fbc01186,167565147,massachusetts, usa,9 days left
8500,ford,connect,2015,clean vehicle,118483.0,white,  nm0ls6e75f1193116,167746107,florida, usa,14 hours left
16593,ford,doors,2015,clean vehicle,71573.0,tuxedo black metallic,  2fmtk4k86fbb36847,167565148,massachusetts, usa,9 days left
13000,ford,door,2017,clean vehicle,33660.0,black,  1fmcu0gd0hue05897,167628838,illinois, usa,2 days left
14247,ford,doors,2015,clean vehicle,61168.0,blue,  2fmtk3j95fbc21893,167565149,pennsylvania, usa,9 days left
23500,ford,door,2017,clean vehicle,42241.0,gray,  1ftfw1ef3hfc08748,167629013,illinois, usa,2 days left
16999,ford,doors,2015,clean vehicle,21004.0,oxford white,  2fmtk4g88fbb94547,167565174,pennsylvania, usa,9 days left
25000,ford,door,2017,clean vehicle,45003.0,red,  1ftfw1ef2hfb56304,167629019,illinois, usa,2 days left
20159,ford,doors,2015,clean vehicle,45278.0,oxford white,  2fmtk4j98fbc15642,167565193,new jersey, usa,9 days left
31000,ford,door,2017,clean vehicle,1.0,black,  1ftfw1ef0hfa02688,167629024,illinois, usa,2 days left
22500,ford,edge,2018,clean vehicle,24747.0,gray,  2fmpk4k82jbb61657,167567143,colorado, usa,8 days left
29500,ford,door,2017,clean vehicle,48707.0,black,  1ftfw1ef5hfb57303,167629025,illinois, usa,2 days left
59900,ford,max,2020,clean vehicle,2162.0,no_color,  1fmjk2at4lea11492,167762991,ohio, usa,21 hours left
24000,ford,f-150,2017,clean vehicle,50874.0,black,  1ftfw1eg9hfc63181,167629029,illinois, usa,2 days left
20500,ford,f-150,2017,clean vehicle,70727.0,black,  1ftfw1ef8hfa28276,167629031,illinois, usa,2 days left
27200,ford,explorer,2019,clean vehicle,29382.0,gray,  1fm5k8f85kgb47660,167802092,north carolina, usa,2 days left
24900,ford,f-150,2018,clean vehicle,33194.0,white,  1ftew1cg6jfd15757,167571218,virginia, usa,2 days left
24500,ford,door,2017,clean vehicle,52084.0,white,  1ftfw1ef6hfa36117,167629032,illinois, usa,2 days left
34000,ford,expedition,2018,clean vehicle,51122.0,black,  1fmju1kt7jea10840,167571219,virginia, usa,2 days left
28000,ford,door,2017,clean vehicle,40286.0,white,  1ftew1eg4hfc14661,167629033,illinois, usa,2 days left
27000,ford,f-150,2017,clean vehicle,55420.0,black,  1ftfw1eg4hfa61042,167629035,illinois, usa,2 days left
34000,ford,wagon,2018,clean vehicle,10282.0,black,  1fbvu4xg0jka34387,167571324,virginia, usa,5 days left
42500,ford,door,2017,clean vehicle,85278.0,white,  1ft7w2bt6hed37724,167629115,illinois, usa,2 days left
33000,ford,explorer,2018,clean vehicle,7258.0,black,  1fm5k8gt5jga17377,167749025,pennsylvania, usa,2 days left
10200,ford,escape,2018,clean vehicle,93350.0,black,  1fmcu9gd2jua74282,167749030,pennsylvania, usa,2 days left
25600,ford,explorer,2019,clean vehicle,37166.0,gray,  1fm5k7f85kgb16175,167802097,north carolina, usa,2 days left
